file	line	column	scope	package	production	family	api	env_bucket	env_expr	argv_expr	call_expr	enumeration_note	snapshot	enumeration_evidence	production_evidence	argv_trust	argv_trust_evidence	reachability	reachability_evidence	tier	environment_needs_if_bounded
agent/anthropic_adapter.py	360	22	_detect_claude_code_version	agent	yes	subprocess	subprocess.run	none		"[cmd, ""--version""]"	"_sp.run( [cmd, ""--version""], capture_output=True, text=True, timeout=5, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[VERIFIED: source data-flow trace] The executable and argv shape are literals, internal constants, discovered runtime IDs, or Hermes-generated temporary paths.	model_reachable	[VERIFIED: source/caller trace] The site is reachable from agent runtime, gateway handling, a model-invoked tool, or a shipped skill.	TIER 2	PATH/executable lookup; platform bootstrap vars; locale; TMP/TEMP; HOME/USERPROFILE only when the probe/keychain command consults the user's account; --version itself needs no credential
agent/anthropic_adapter.py	888	18	_read_claude_code_credentials_from_keychain	agent	yes	subprocess	subprocess.run	none		"[""security"", ""find-generic-password"", ""-s"", ""Claude Code-credentials"", ""-w""]"	"subprocess.run( [""security"", ""find-generic-password"", ""-s"", ""Claude Code-credentials"", ""-w""], capture_output=True, text=True, timeout=5, stdin=subprocess.DEVNULL, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[VERIFIED: source data-flow trace] The executable and argv shape are literals, internal constants, discovered runtime IDs, or Hermes-generated temporary paths.	model_reachable	[VERIFIED: source/caller trace] The site is reachable from agent runtime, gateway handling, a model-invoked tool, or a shipped skill.	TIER 2	PATH/executable lookup; platform bootstrap vars; locale; TMP/TEMP; HOME/USERPROFILE only when the probe/keychain command consults the user's account; --version itself needs no credential
agent/anthropic_adapter.py	1349	9	run_oauth_setup_token	agent	yes	subprocess	subprocess.run	none		"[claude_path, ""setup-token""]"	"subprocess.run([claude_path, ""setup-token""])"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/coding_context.py	685	15	_git	agent	yes	subprocess	subprocess.run	hidden_kwargs	_popen_kwargs	"[""git"", ""-C"", str(cwd), *args]"	"subprocess.run( [""git"", ""-C"", str(cwd), *args], capture_output=True, text=True, timeout=_GIT_TIMEOUT, **_popen_kwargs, )"	[VERIFIED: AST keyword/positional inspection] env may be supplied through **kwargs	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/context_references.py	307	18	_expand_git_reference	agent	yes	subprocess	subprocess.run	hidden_kwargs	_popen_kwargs	"[""git"", *args]"	"subprocess.run( [""git"", *args], cwd=cwd, capture_output=True, text=True, timeout=30, stdin=subprocess.DEVNULL, **_popen_kwargs, )"	[VERIFIED: AST keyword/positional inspection] env may be supplied through **kwargs	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/context_references.py	533	18	_rg_files	agent	yes	subprocess	subprocess.run	hidden_kwargs	_popen_kwargs	"[""rg"", ""--files"", str(path.relative_to(cwd))]"	"subprocess.run( [""rg"", ""--files"", str(path.relative_to(cwd))], cwd=cwd, capture_output=True, text=True, timeout=10, stdin=subprocess.DEVNULL, **_popen_kwargs, )"	[VERIFIED: AST keyword/positional inspection] env may be supplied through **kwargs	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/copilot_acp_client.py	508	20	CopilotACPClient._run_prompt	agent	yes	subprocess	subprocess.Popen	boundary_builder	_build_subprocess_env()	[self._acp_command] + self._acp_args	subprocess.Popen( [self._acp_command] + self._acp_args, stdin=subprocess.PIPE, stdout=subprocess.PIPE, stderr=subprocess.PIPE, text=True, bufsize=1, cwd=self._acp_cwd, env=_build_subprocess_env(), )	[VERIFIED: AST keyword/positional inspection] recognized boundary-builder call by callee name	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/lsp/client.py	273	32	LSPClient._spawn	agent	yes	asyncio	asyncio.create_subprocess_exec	explicit_dict	env	cmd[0]	asyncio.create_subprocess_exec( cmd[0], *cmd[1:], stdin=asyncio.subprocess.PIPE, stdout=asyncio.subprocess.PIPE, stderr=asyncio.subprocess.PIPE, env=env, cwd=self._cwd, start_new_session=True, )	[VERIFIED: AST keyword/positional inspection] explicit env expression (not necessarily a literal dict)	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/lsp/install.py	264	16	_install_npm	agent	yes	subprocess	subprocess.run	none		"[npm, ""install"", ""--prefix"", str(staging), ""--silent"", ""--no-fund"", ""--no-audit"", *install_targets]"	"subprocess.run( [npm, ""install"", ""--prefix"", str(staging), ""--silent"", ""--no-fund"", ""--no-audit"", *install_targets], check=False, capture_output=True, text=True, timeout=300, stdin=subprocess.DEVNULL, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[VERIFIED: source data-flow trace] The executable and argv shape are literals, internal constants, discovered runtime IDs, or Hermes-generated temporary paths.	model_reachable	[VERIFIED: source/caller trace] The site is reachable from agent runtime, gateway handling, a model-invoked tool, or a shipped skill.	TIER 2	PATH/executable lookup; platform bootstrap vars; locale; TMP/TEMP; HOME/cache directories; configured proxy/CA variables; exact registry credentials only for private package/model sources
agent/lsp/install.py	312	16	_install_go	agent	yes	subprocess	subprocess.run	explicit_dict	env	"[go, ""install"", pkg]"	"subprocess.run( [go, ""install"", pkg], check=False, capture_output=True, text=True, timeout=600, env=env, stdin=subprocess.DEVNULL, )"	[VERIFIED: AST keyword/positional inspection] explicit env expression (not necessarily a literal dict)	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
